t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
relieved quickly feeling helpless tired,3,0.156,0,0,0,0.2,0.2,0,0.2
debated leaving bad feeling maybe startled,3,0.188,0,0,0,0,0,0.167,0.167
remember feeling somewhat terrified d entire night birth body needed rest realized sleep,3,0.406,0,0,0,0,0,0,0.077
looked like total surprise want thing rule wanted respect feeling pretty anxious disappointed,3,0.406,0,0,0,0.231,0.077,0,0.077
stayed old room able talk elena christian wanted work time drank coffee feeling litle paranoid,3,0.469,0,0,0,0,0,0,0.067
feel inhibited speak,3,0.094,0,0,0,0,0,0,0
m situation talking new find feeling reluctant mention illness,3,0.281,0,0,0,0,0.111,0,0.111
start feeling paranoid weepy,3,0.125,0,0,0,0,0,0,0.25
think feel weird situation m utah anymore,3,0.219,0,0,0,0,0,0,0
feel like m neurotic scientist times ask universe answers questions need repeat itseld find data conclusive,3,0.5,0,0,0,0.062,0,0,0.062
begin today saying sword cut cords illusion feeling exceptionally vulnerable right,3,0.344,0,0.091,0,0,0,0,0.091
tired stiff feeling completely distraught culture shock,3,0.219,0,0,0,0.143,0.143,0,0.143
feel hesitant talk starbucks employees bus officials hotel workers,3,0.281,0,0,0,0,0,0,0
m extremely outgoing know people tend feel shy act reserved meet large groups,3,0.406,0,0,0,0,0,0,0
feel paranoid worrying m watched everybody hates etc etc,3,0.281,0,0,0,0,0.222,0.111,0.333
remember feeling restless life,3,0.125,0,0,0,0,0,0,0
took today nt cause want ally feels weird champion nt experienced directly,3,0.375,0,0.083,0,0.083,0,0,0
feel reluctant leave place especially having spent years life,3,0.281,0,0.111,0,0,0,0,0
feel helpless taking away pain,3,0.156,0,0,0,0,0.4,0,0.4
m feeling anxious seeing family,3,0.156,0,0,0,0.2,0,0,0.2
feel doubtful dearest fanny letter finished command little quiet time present,3,0.344,0,0,0,0.182,0,0,0
supposedly joking laughing like nt overwhelmed remember feeling terrified shy embarrassed nearly word came mouth,3,0.469,0,0,0,0.133,0.133,0,0.067
walked venetian feeling like shaken big damn anvil,3,0.25,0,0,0,0.125,0,0.125,0
hope fucks hard need talk feel confused lonely desperate ignores better came,3,0.375,0,0,0,0.083,0.167,0,0.083
know feel strange calm,3,0.125,0,0,0,0,0,0,0
try feel frantic urge picture mind,3,0.188,0,0,0,0,0,0,0.167
hold questions feeling timid,3,0.125,0,0,0,0,0,0,0
feel like paranoid mom,3,0.125,0,0,0,0.25,0,0,0.25
feel distressed,3,0.062,0,0,0,0,0.5,0,0.5
feel like strange antisocial creature diffi,3,0.188,0,0,0,0.167,0.167,0,0
feel helpless face exorbitant costs high deductibles high premiums guarantee getting decent care,3,0.406,0,0,0,0,0.077,0,0.077
downgrading version gnat aws feel little skeptical,3,0.219,0,0,0,0,0.143,0,0.143
feel uncertain unclear,3,0.094,0,0,0,0,0,0,0
feel apprehensive telling josh nt m encouraging family think actually looking forward know lot people parties,3,0.5,0,0,0,0.188,0,0,0.062
feel uncomfortable taking time theirs,3,0.156,0,0,0,0,0,0,0
feel shy vulnerable including chunks handwriting ill admit nt captured personal touch m photographs included taken lot favorite shots high school,3,0.656,0,0,0,0.048,0.095,0.048,0.143
know ll feel scared ll find hope scared,3,0.25,0,0,0,0.125,0,0.25,0.25
want ask n amagine room sure feeling afraid second sumpah itu yang gue rasain sekarang sure tiap detik gue merasa pengen pulang dan berdoa h berubah far want,3,0.875,0,0.036,0,0,0,0,0.036
