0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
reliev,quick,feel,helpless,tire, , , , , , , , , , , , , , , , , , , , , , , , , , , 
debat,leav,bad,feel,mayb,startl, , , , , , , , , , , , , , , , , , , , , , , , , , 
rememb,feel,somewhat,terrifi,d,entir,night,birth,bodi,need,rest,realiz,sleep, , , , , , , , , , , , , , , , , , , 
look,like,total,surpris,want,thing,rule,want,respect,feel,pretti,anxious,disappoint, , , , , , , , , , , , , , , , , , , 
stay,old,room,abl,talk,elena,christian,want,work,time,drank,coffe,feel,litl,paranoid, , , , , , , , , , , , , , , , , 
feel,inhibit,speak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
situat,talk,new,find,feel,reluct,mention,ill, , , , , , , , , , , , , , , , , , , , , , , , 
start,feel,paranoid,weepi, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
think,feel,weird,situat,m,utah,anymor, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,neurot,scientist,time,ask,univers,answer,question,need,repeat,itseld,find,data,conclus, , , , , , , , , , , , , , , , , 
begin,today,say,sword,cut,cord,illus,feel,except,vulner,right, , , , , , , , , , , , , , , , , , , , , 
tire,stiff,feel,complet,distraught,cultur,shock, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,hesit,talk,starbuck,employe,bus,offici,hotel,worker, , , , , , , , , , , , , , , , , , , , , , , 
extrem,outgo,know,peopl,tend,feel,shi,act,reserv,meet,larg,group, , , , , , , , , , , , , , , , , , , , 
feel,paranoid,worri,watch,everybodi,hate,etc,etc, , , , , , , , , , , , , , , , , , , , , , , , 
rememb,feel,restless,life, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
took,today,nt,caus,want,alli,feel,weird,champion,nt,experienc,direct, , , , , , , , , , , , , , , , , , , , 
feel,reluct,leav,place,especi,have,spent,year,life, , , , , , , , , , , , , , , , , , , , , , , 
feel,helpless,take,away,pain, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,anxious,see,famili, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,doubt,dearest,fanni,letter,finish,command,littl,quiet,time,present, , , , , , , , , , , , , , , , , , , , , 
suppos,joke,laugh,like,nt,overwhelm,rememb,feel,terrifi,shi,embarrass,near,word,came,mouth, , , , , , , , , , , , , , , , , 
walk,venetian,feel,like,shaken,big,damn,anvil, , , , , , , , , , , , , , , , , , , , , , , , 
hope,fuck,hard,need,talk,feel,confus,lone,desper,ignor,better,came, , , , , , , , , , , , , , , , , , , , 
know,feel,strang,calm, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
tri,feel,frantic,urg,pictur,mind, , , , , , , , , , , , , , , , , , , , , , , , , , 
hold,question,feel,timid, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,paranoid,mom, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,distress, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,strang,antisoci,creatur,diffi, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,helpless,face,exorbit,cost,high,deduct,high,premium,guarante,get,decent,care, , , , , , , , , , , , , , , , , , , 
downgrad,version,gnat,aw,feel,littl,skeptic, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,uncertain,unclear, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,apprehens,tell,josh,nt,encourag,famili,think,actual,look,forward,know,lot,peopl,parti, , , , , , , , , , , , , , , , , 
feel,uncomfort,take,time,their, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,shi,vulner,includ,chunk,handwrit,ill,admit,nt,captur,person,touch,m,photograph,includ,taken,lot,favorit,shot,high,school, , , , , , , , , , , 
know,ll,feel,scare,ll,find,hope,scare, , , , , , , , , , , , , , , , , , , , , , , , 
want,ask,n,amagin,room,sure,feel,afraid,second,sumpah,itu,yang,gue,rasain,sekarang,sure,tiap,detik,gue,merasa,pengen,pulang,dan,berdoa,h,berubah,far,want, , , , 
feel,doubt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,later,w,nt,hope,kinda,skeptic, , , , , , , , , , , , , , , , , , , , , , , , , 
admit,feel,bit,strang,share,outfit,photo,enjoy, , , , , , , , , , , , , , , , , , , , , , , , 
help,feel,alarm,possibl,futur,use,data,track,devic,particularili,given,key,focus,experi,prove,commerci,whale,ought,reallow,talk,manag,whale,popul, , , , , , , , , 
