t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
Good morning,0,0.025,0.000,0.500,0,0.500,0.000,0.000,0.000
Officially living life . Tired people telling school cuz money . money . time . future,0,0.198,0.000,0.000,0,0.125,0.000,0.000,0.000
Finding money pear pants,0,0.049,0.000,0.000,0,0.250,0.000,0.000,0.000
Feel depressed save . . . Thanks !,0,0.099,0.000,0.000,2,0.125,0.125,0.000,0.125
finally bed found fave chapstick,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
"going Indiana Baptist Sunday , Pray summer missionaries . . .",0,0.136,0.000,0.182,2,0.091,0.000,0.000,0.000
Watching 1st Potter film kids eating sweets Grotty bank hol weather Hoylake . Typical !,0,0.185,0.000,0.133,0,0.133,0.000,0.000,0.000
"Slight hurdle weekend blooming art exhibition organised soon old flat . 2 days insufferable "" artists """,0,0.210,0.000,0.059,0,0.059,0.000,0.000,0.000
"Horrible mood , horrible day",0,0.062,0.000,0.000,0,0.000,0.000,0.400,0.400
"amazing day . got Twitter , having great days",0,0.111,0.000,0.111,0,0.222,0.000,0.000,0.000
""" carried cross took shame , believe . & shine light amazing grace , recieve . """,0,0.210,0.000,0.000,1,0.176,0.059,0.059,0.000
think agreed watch kids tomorrow ?,0,0.074,0.000,0.167,0,0.167,0.000,0.000,0.000
best feeling tells lost weight <333,0,0.074,0.000,0.000,0,0.000,0.167,0.000,0.000
want disney movie marathon madness . Thanks Dinsey pandora station !,0,0.136,0.000,0.091,0,0.091,0.091,0.091,0.091
car ride home . . .,0,0.074,0.000,0.000,2,0.167,0.000,0.000,0.000
Time hour power nap participate madness people Black Friday . .,0,0.136,0.000,0.182,1,0.091,0.091,0.091,0.091
stop merriment . annoying,0,0.049,0.000,0.000,0,0.250,0.000,0.250,0.000
great . . . . hands smell like doro wit lol,0,0.136,0.000,0.000,3,0.182,0.000,0.000,0.000
E domani parodia di Breaking Dawn . Grazie degli spoiler Gu .,0,0.148,0.083,0.167,0,0.000,0.000,0.000,0.000
bcuz weather m leavin til morning -_-,0,0.086,0.000,0.143,0,0.000,0.000,0.000,0.000
Tomorrow monday . . urgh . . beep test tomorrow . .,0,0.148,0.000,0.250,3,0.000,0.000,0.000,0.000
Happy nurses week ! rn,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
Yay ! good com final needa step semester forsure tho . distractions .,0,0.160,0.000,0.000,0,0.154,0.000,0.000,0.000
town having pantomime hardly walk complete painful nightmare sit .,0,0.123,0.000,0.000,0,0.100,0.100,0.000,0.200
second thanksgiving . atleast family time . (:,0,0.099,0.000,0.125,0,0.250,0.000,0.000,0.000
