text,affect
Quite a few typos today. Better stick my hands in the refrigerator to warm them up.  ,happiness
"For the first time in two weeks, I am alone in my house. I may cry. ",happiness
Family fights in the morning before school... ,happiness
Work at 7 in the morning. Barely going to bed.  ,happiness
Fk Is his tv ever annoyin -_- its not like he would lower it so I wouldn't have to hear it all night nono he wants to share the fun -_- ,happiness
So much for buying that awesome new phone from sony ericsson  - I am now Berry'd like everyone else...,happiness
i bet dat dog eating name brand cheerios. cant relate. i eat cheery O's,happiness
"Right I now need breakfast. Let's see if I can make it while Tweeting ;-) What am I thinking, I'm a bloke, multitasking is out lol",happiness
"Cheers to Dec 1st! I can finally keep real butter in my fridge, eat the skin on my chicken and no more battles over cheap Ikea furniture! ",happiness
mozart requiem tonight,happiness
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",happiness
Only 1 more week of school left before Christmas:) ,happiness
finally got my own set of keys for the store. how should i celebrate?,happiness
Partied long and hard...goodnight Twitter see ya in the mornin,happiness
YAY! GO TAYLOR SWIFT!! come to australia again!!!,happiness
Nothing like a Venti solo Hot Chocolate in a Red Cup ,happiness
I Don't Lie I'd Rather Tell The Truth So You Won't Get Hurt ,happiness
Well its half 2 in the morning and cant sleep ,happiness
Bk...! It's okay doesn't compare to  wedding practice then wedding shower tonight. !!,happiness
Open your arms and welcome the of today! (◕‿-) You are a ====>>★VERIFIED★★STAR★ ★★★★★★★★★★★★★★★★★,happiness
teachin nephew how to walk on hz own ,happiness
Scratch movie night plans.. have to go babysit all night! ,happiness
Came home from vacation to find out a fish rotted in our fridge and it smells awful! To top it off my room is right next to the kitchen ,happiness
The laws of attraction is in motion over here homeboy. Another Great day!!! More great news!!! ,happiness
Just noticed I left my science binder home. ,happiness
"Beer, Smoki and Lucky Strike...good times, good times   At work...drawing stuff",happiness
Working on an art project for a class.  If only all of my homwork consisted of such things. Wishing I went to an art school...,happiness
"In Whin Park on the swings, victory is all mine right now",happiness
"So, all the teachers decided to give me more homework than they have all semester this week. ",happiness
happy mother's day!,happiness
"""Less under our tree means more for the world!"" What does this look like for you and me as we consider giving to others this Christmas? ",happiness
Just downloaded twitterberry. My life is now even MORE convenient.,happiness
found a radiator to sit beside in the train station ,happiness
Tweetie v helpfully shrinks longer tweet. Brilliant.,happiness
"Mad I had to miss the game last night :// , Now school ? ...",happiness
I've hit the refresh button in my life. No hard feelings for anyone at all. I've got nothing but love.  ,happiness
"Essay in!!! Stress is kinda gone, now for a 7 page paper next? ",happiness
Happy to see Kurt spin.,happiness
"Head is killing me , practice tonight ",happiness
May the 4th be with you    Happy Star Wars Day !!!,happiness
My afternoon consists of learning my lines for drama and finding all my school books for tomorrow. ,happiness
We would have Pam the Ham on the longest bus ride ever. ,happiness
- Weeping may endureth for a night for i Said Joy cometh in the morning,happiness
Snow has come.... Now it won't stop till march ,happiness
Days don't get much better than days like today.  ,happiness
"also, i forget what happened at open campus this week ",happiness
"""New Day"" was by FAR the most emotional song performed at  Jay and 'Ye looked like they could Cry tears of ",happiness
"Bed, hot water bottle on my stomach, and 3 uni essays!  That's my day sorted! ",happiness
"Detention, then teaching a preschool class at gym full of boys. ",happiness
I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it.,happiness
4 hour pre ACT test ,happiness
Wonderful morning and happy Friday. Full of  and ,happiness
"ontem fui na , ela me deu varios abraços tipo pareçendo que era um adeus sei la x:",happiness
"damn i was on a roll with this paper. time for lift and practice, the only break i will get from homework all day ",happiness
"Got my tattoo fixed today, and it didn't hurt to much, thank god  Can't wait to get the next one. $$$.",happiness
Going to the mall with Jake to do some Christmas shopping. ,happiness
At the airport getting ready to head back home. This has been an amazing weekend. I have the world's best best friend. ,happiness
"18 years ago my mum bought me a scarf. 3 weeks ago I lost it. Today I got it back - handed in by some LOVELY person, in Caffe Nero. ",happiness
