text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,2,25,0.080,0.000,0.024,0.047,0.000,0.000,0
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,2,26,0.077,0.038,0.000,0.012,0.000,0.024,0
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore and it take so much out of me..",2,27,0.037,0.000,0.000,0.000,0.000,0.000,1
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,2,21,0.048,0.048,0.000,0.000,0.000,0.000,0
Literally fuming fuck sake,2,4,0.000,0.000,0.000,0.000,0.000,0.000,0
The rage has died down.,2,6,0.000,0.000,0.000,0.012,0.000,0.012,0
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",2,25,0.000,0.040,0.000,0.000,0.000,0.000,0
All Brian does is sleep and aggravate me,2,8,0.000,0.125,0.000,0.012,0.000,0.000,0
i live and die for mchanzo honeymoon crashing and burning the second they move in together,2,16,0.000,0.062,0.012,0.024,0.000,0.000,0
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,2,21,0.095,0.095,0.000,0.000,0.000,0.012,0
Might just leave and aggravate bae,2,6,0.000,0.000,0.000,0.012,0.000,0.000,0
"Realest ever, relentless ever, inevitable that I win.",2,11,0.091,0.000,0.012,0.000,0.000,0.000,0
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",2,29,0.000,0.034,0.000,0.012,0.000,0.000,0
"I miss my gran singing Rawhide, in her deep baritone growl.",2,13,0.077,0.077,0.012,0.012,0.000,0.012,0
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",2,31,0.097,0.065,0.035,0.000,0.000,0.000,0
Eat my ass' is no longer an insult,2,9,0.000,0.000,0.000,0.000,0.000,0.000,0
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",2,28,0.000,0.214,0.000,0.000,0.000,0.000,0
"Anger, resentment, and hatred are the destroyer of your fortune today.",2,14,0.000,0.071,0.012,0.035,0.000,0.000,0
"Anger, resentment, and hatred are the destroyer of your fortune today.'",2,15,0.000,0.067,0.012,0.035,0.000,0.000,0
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,2,23,0.087,0.043,0.000,0.000,0.000,0.000,0
Sting is just too damn earnest for early morning listening. ,2,11,0.000,0.091,0.000,0.000,0.000,0.012,0
Just seeing Alex revells face gets me angry,2,8,0.000,0.125,0.012,0.000,0.000,0.000,0
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",2,27,0.000,0.074,0.000,0.012,0.000,0.000,0
I hope my hustle don't offend nobody,2,8,0.125,0.000,0.012,0.012,0.000,0.000,0
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",2,17,0.059,0.118,0.012,0.012,0.000,0.000,0
Lol little things like that make me so angry x,2,10,0.000,0.000,0.012,0.000,0.000,0.000,0
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",2,22,0.000,0.045,0.012,0.000,0.000,0.000,0
wanna go home and focus up on this game . Don't wanna rage at all,2,16,0.000,0.000,0.012,0.000,0.000,0.012,0
