text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
the moment when you get another follower and you cheer. ,0.000,11.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
If ur heart hurts all the time for tht person something isn't right where's the ,0.000,17.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
"I feel awful, and it's way too freaking early. Now off to leadership highschool... ",0.000,18.000,0.056,0.000,0.000,0.013,0.000,0.013,2.000
So chuffed for safc fans! Bet me dar comes in mortz from the match ,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Making art and viewing art are different at their core!   ,3.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"""We're sorry, but the clip you selected isn't available from your location. Please select another clip."" NO I REFUSE. ",1.000,27.000,0.111,0.000,0.013,0.000,0.000,0.000,0.000
chips and curry sauce ,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",2.000,25.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
Oh and off to work till midnight -.-,0.000,8.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
large crowds of manic football fans and mascots ,3.000,8.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000
There is no concrete equation for joy. you can't explain how to get in your life.,0.000,19.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
All my battles r surely handled properly and  never by me ... it feels so good,0.000,17.000,0.000,0.000,0.013,0.013,0.000,0.000,2.000
Nobody up worth talking too so back to sleep I try to go! ,0.000,14.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000
Someone on my high school football team is also called Moriarty. ,3.000,12.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000
I just absolutely lost my mind.. :(,2.000,8.000,0.125,0.000,0.000,0.013,0.000,0.000,1.000
Christmas lights? Check! :) now its time to decorate inside.. ,0.000,13.000,0.000,0.077,0.013,0.000,0.000,0.000,1.000
"My earlier tweet should've said ""I sometimes think I'm the youngest person...""  ",2.000,18.000,0.111,0.000,0.000,0.000,0.000,0.000,2.000
Working on this third drink tho...  Someone is tryna challenge me to a cook off... they've already  ,1.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000
sounds awful but alot of people are dying recently :(( ,1.000,10.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000
