t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
mad minuscule try ruin somebodies life like lose job like federal prison,anger,12,0.0,0.0,0,2.0,0.0,3.0,3.0
eyes dilated . hate world right rage thousand fiery dragons . need drink .,anger,14,0.0,0.071,0,0.0,0.0,2.0,3.0
"dean saving lot ppl , bc snap nomore . .",anger,10,0.0,0.0,1,0.0,0.0,0.0,0.0
Sorry guys absolutely idea time cam tomorrow posted .,anger,9,0.0,0.111,0,0.0,0.0,0.0,0.0
Literally fuming fuck sake,anger,4,0.0,0.0,0,0.0,0.0,1.0,0.0
rage died .,anger,3,0.0,0.0,0,0.0,0.0,1.0,2.0
"Ananya grabbed bible , opened , started reading , said ' talk burning people ? '",anger,16,0.0,0.062,1,0.0,0.0,1.0,0.0
Brian sleep aggravate,anger,3,0.0,0.33299999999999996,0,0.0,0.0,1.0,0.0
live die mchanzo honeymoon crashing burning second,anger,7,0.0,0.14300000000000002,0,1.0,0.0,0.0,2.0
time madden career set farm account . MOTM easier,anger,9,0.111,0.111,0,0.0,0.0,1.0,1.0
leave aggravate bae,anger,3,0.0,0.0,0,0.0,0.0,1.0,0.0
"Realest , relentless , inevitable win .",anger,7,0.0,0.0,0,1.0,0.0,0.0,0.0
"thirsty chance disagree w/ left , realize affront bigoted platform .",anger,11,0.0,0.091,0,0.0,0.0,1.0,0.0
"miss gran singing Rawhide , deep baritone growl .",anger,9,0.0,0.111,0,1.0,0.0,1.0,1.0
"think defense USC playing , need fix things offense win PAC 12 year '",anger,14,0.14300000000000002,0.14300000000000002,0,2.0,0.0,1.0,0.0
Eat ass ' longer insult,anger,5,0.0,0.0,0,0.0,0.0,1.0,0.0
"Taking umbrage Jimmy Carr claimed Bilbo Baggins went Mordor 8 10 cats Countdown . Know Baggins ' , mate .",anger,20,0.0,0.2,0,0.0,0.0,0.0,0.0
"Anger , resentment , hatred destroyer fortune today .",anger,9,0.0,0.111,0,1.0,0.0,4.0,2.0
"Anger , resentment , hatred destroyer fortune today . '",anger,10,0.0,0.1,1,1.0,0.0,4.0,2.0
spend 5 minutes irritate seriously bitch shut,anger,7,0.0,0.14300000000000002,0,0.0,0.0,2.0,0.0
Sting damn earnest early morning listening .,anger,7,0.0,0.14300000000000002,0,0.0,0.0,2.0,1.0
seeing Alex revells face gets angry,anger,6,0.0,0.16699999999999998,0,1.0,0.0,1.0,0.0
"( Sam ) Brown Law : offend people style fake , break Island .",anger,14,0.0,0.14300000000000002,0,0.0,0.0,1.0,1.0
hope hustle offend,anger,3,0.0,0.0,0,1.0,0.0,1.0,1.0
"watched Django Unchained , people frown , titter delight ! 2/5",anger,11,0.0,0.182,0,1.0,0.0,0.0,0.0
Lol little things like angry x,anger,6,0.0,0.0,0,1.0,0.0,1.0,0.0
"point today says remotely kind , waterfall burst eyes",anger,9,0.0,0.111,0,1.0,0.0,0.0,0.0
wanna home focus game . wanna rage,anger,7,0.0,0.0,0,1.0,0.0,1.0,1.0
wanna smile wanna frown,anger,4,0.0,0.0,0,1.0,0.0,0.0,0.0
gon na KKk police bitch minimum sentence . . wattch,anger,10,0.0,0.0,1,0.0,0.0,1.0,0.0
"animosity Hillary comes conspiracy theories perception , animosity Trump based says .",anger,12,0.0,0.16699999999999998,0,0.0,0.0,2.0,0.0
Autocorrect changes ' 'em ' ' ' resent greatly,anger,9,0.0,0.0,2,1.0,0.0,1.0,0.0
shady Jongdae ex rumoured girlfriends going WGM saying joyed joyed,anger,10,0.1,0.2,0,0.0,0.0,0.0,1.0
work yesterday old cunt couple told coffees cold wanted refund finger angrily,anger,12,0.0,0.083,0,0.0,0.0,0.0,0.0
Yal aggravate tf outta acting lying yal tell difference dyke man . RARELY hard tell difference,anger,16,0.062,0.0,0,0.0,0.0,1.0,0.0
Star trek online update download oh fuming yay,anger,8,0.0,0.0,0,1.0,0.0,1.0,0.0
"guy raging hard rocket league game , beat started crying laughing hard lol",anger,13,0.0,0.0,0,1.0,0.0,2.0,2.0
happened . need smoke .,anger,5,0.0,0.0,0,0.0,0.0,0.0,0.0
wish road rage damn bad lmaooooo,anger,6,0.0,0.0,0,0.0,0.0,3.0,2.0
think got day randomly burst crying,anger,6,0.0,0.0,0,0.0,0.0,0.0,0.0
Repeal / remove ' Johnson Amendment ' . direct affront Amendment Constitution .,anger,13,0.0,0.154,1,0.0,0.0,0.0,0.0
Police : Atlanta rapper Shawty Lo killed fiery car crash,anger,10,0.0,0.2,0,0.0,0.0,1.0,2.0
gon na chill bc fake outrage fun w / e SPACE COLLEGE,anger,12,0.16699999999999998,0.0,0,1.0,0.0,1.0,0.0
feel offended thinks big deal . knows literally Kai .,anger,10,0.0,0.1,0,0.0,0.0,1.0,1.0
"discriminate generates hateAnd hate bound irate ,",anger,7,0.0,0.0,0,0.0,0.0,3.0,1.0
Weak people revenge . Strong people forgive . Intelligent people ignore .,anger,12,0.0,0.0,0,0.0,0.0,1.0,1.0
relentless dog begging food,anger,4,0.0,0.0,0,0.0,0.0,0.0,0.0
ok got madden 17 refunded got ta wait days money got ta pre - order fifa . . . .,anger,20,0.0,0.1,3,1.0,0.0,1.0,1.0
People smoke cigarettes irritate soul .,anger,6,0.0,0.0,0,1.0,0.0,1.0,0.0
Threat factors respect provocation bulb worm : BnQo,anger,8,0.0,0.125,0,1.0,0.0,2.0,1.0
"— Self - hatred gives rise fury , fury desire self - change .",anger,14,0.0,0.0,0,0.0,0.0,3.0,3.0
sting like bee honey .,anger,5,0.0,0.0,0,1.0,0.0,1.0,1.0
