text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
Layin n bed with a headache  ughhhh...waitin on your call...,1,14,0.000,0.071,0.000,0.000,0.000,0.000,4
Funeral ceremony...gloomy friday...,1,6,0.000,0.167,0.000,0.024,0.000,0.000,4
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, and he wants me 2! scandalous!",1,35,0.057,0.029,0.024,0.000,0.000,0.012,0
Ugh! I have to beat this stupid song to get to the next  rude!,1,17,0.059,0.000,0.000,0.012,0.000,0.000,0
The storm is here and the electricity is gone,1,9,0.000,0.000,0.000,0.000,0.000,0.000,0
So sleepy again and it's not even that late. I fail once again.,1,16,0.062,0.000,0.000,0.012,0.000,0.000,0
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,1,26,0.192,0.000,0.012,0.012,0.000,0.000,2
"so tired and i think i'm definitely going to get an ear infection.  going to bed ""early"" for once.",1,25,0.000,0.000,0.000,0.000,0.000,0.012,0
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,1,31,0.032,0.000,0.000,0.012,0.000,0.000,23
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,1,18,0.056,0.000,0.000,0.000,0.000,0.000,4
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,1,19,0.053,0.053,0.012,0.012,0.000,0.000,2
"I want to buy this great album but unfortunately i dont hav enuff funds  its ""long time noisy""",1,22,0.045,0.000,0.012,0.024,0.000,0.000,0
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,1,29,0.000,0.000,0.012,0.024,0.000,0.000,12
"So great to see Oin and Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",0,29,0.000,0.103,0.037,0.012,0.000,0.012,0
dont wanna work 11-830 tomorrow  but i get paid,1,13,0.000,0.154,0.000,0.000,0.000,0.000,0
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,1,24,0.083,0.042,0.012,0.000,0.000,0.000,0
