0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
layin,n,bed,with,a,headach, ,ughhhh,...,waitin,on,your,call,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funer,ceremoni,...,gloomi,friday,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,should,be,sleep,",",but,i,m,not,!,think,about,an,old,friend,who,i,want,.,but,he,'s,marri,now,.,damn,",",and,he,want,me,2,!,scandal,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugh,!,i,have,to,beat,this,stupid,song,to,get,to,the,next, ,rude,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,storm,is,here,and,the,electr,is,gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,sleepi,again,and,it,'s,not,even,that,late,.,i,fail,onc,again,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how,are,you,convinc,that,i,have,alway,want,you,?,what,signal,did,i,give,off,...,damn,i,think,i,just,lost,anoth,friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,tire,and,i,think,i,'m,definit,go,to,get,an,ear,infect,., ,go,to,bed,"""",earli,"""",for,onc,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fudg,....,just,bs'd,that,whole,paper,....,so,tire,....,ugh,i,hate,school,....., ,time,to,sleep,!,!,!,!,!,!,!,!,!,!,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,'m,have,a,problem,with,my,photo,here,in,twitter,amf!!!,...,can't,see,my,face,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
