text,affect
Layin n bed with a headache  ughhhh...waitin on your call...,sadness
Funeral ceremony...gloomy friday...,sadness
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, and he wants me 2! scandalous!",sadness
Ugh! I have to beat this stupid song to get to the next  rude!,sadness
The storm is here and the electricity is gone,sadness
So sleepy again and it's not even that late. I fail once again.,sadness
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
"so tired and i think i'm definitely going to get an ear infection.  going to bed ""early"" for once.",sadness
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
"I want to buy this great album but unfortunately i dont hav enuff funds  its ""long time noisy""",sadness
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
"So great to see Oin and Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happiness
dont wanna work 11-830 tomorrow  but i get paid,sadness
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sadness
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sadness
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happiness
Is miserable  i feel like im gona cry  sux!,sadness
*sigh* I'm going to bed... I just don't feel right anymore...,sadness
Now I am depressed after watching so you think you can dance,sadness
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sadness
"Last day working for the Uni today, sad times",sadness
is still missing her husband.    I really want him home.,sadness
I miss my puppy,sadness
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
Took a shift tomorrow.    I don't really feel like working right now.,sadness
but now i have no money for a phone,sadness
Too bad the Red Devils.. disappointing to say the least,sadness
is a bad friend,sadness
Had to cancel wow for now,sadness
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happiness
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happiness
Up late with nothin 2 do.....,sadness
sometimes i wish things could go back to the way they were the beginning of last summer,sadness
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",happiness
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happiness
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
It's pissing me off and not letting me follow ericka,sadness
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
I haven't seen Muffin in two whole days!,sadness
Just found mj mouse flats at DJs. Of course there are none left in my size,sadness
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
my teeth and head hurts,sadness
I HATE rob zombie movies. and the smell of weed. Vommmm.,sadness
no more arrested development. i am sad.,sadness
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
I feel so deflated. No more doggy.,sadness
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
"im contacting PAWS Philippines so i can find ""tiger"" a new owner. im so sad. i love my dog soo much",sadness
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
Fuuudge. Movie store is closed,sadness
ALO is so sad and quiet and empty tonight,sadness
Sad that Christian Lacroix had to file bankruptcy,sadness
I dont feel good AT ALL. fuckkk,sadness
Have to go to the dreaded DMV tomorrow,sadness
english class! working on interactive orals,happiness
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
God I just want to sleep.,sadness
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
feels sick to my stomach and idkk whyy,sadness
FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
my stupid tooooth hurts,sadness
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness
missed iron chef,sadness
what a bad day,sadness
went to the cd store to search for the cd. But,sadness
"I miss my mom..  ""May angels lead you in""",sadness
Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness
Sleppytime. Really missing my godfather right now. Love you Wayne,sadness
So have a headache right now and it sucks,sadness
"comfort food of the day: pan mee. though, it didnt taste any good..",sadness
misses my baby.,sadness
I'm poorly and can't sleep,sadness
has work tom.,sadness
today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
fuckin'm transtelecom,anger
Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness
Having Fever  dont feel to work,sadness
"Working from home today, my back is killing me  Doctor and then physio after later today.",sadness
Missing you all deeply,sadness
I don't want her to leave..,sadness
"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",happiness
Working   But it's Fridaaaayyyyy,anger
"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life <3 Even at the very end...",sadness
morning again! I hate mornings. So offensive!,sadness
My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,happiness
Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,sadness
"First my work computer, now my home laptop is fucked.",sadness
Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,happiness
"Woke Up,I Wanna Stay In My bed",sadness
Upsidedown tomato plants died!,sadness
"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",happiness
So exhausted..can't sleep. I don't like these nights,sadness
i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,sadness
Packing  I don't like it..,anger
finished a whole box of ice cream,sadness
"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",happiness
I don't wanna go back to work   sleepy time.,sadness
I miss my friend,sadness
Yea i just saw this really sad commercial,sadness
Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,sadness
Hates having to sleep alone,sadness
I loved johnny carson now I'm going to hate seeing jay leno go,sadness
even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,sadness
I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,sadness
FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,sadness
someone take me to LA  I NEED TO SEE THE LEMON TREE,happiness
"um... so I don't think my text msgs have a ""subject line"" ... I fail",sadness
tummy ache.,sadness
as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,sadness
that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,happiness
"I can't sleep, this is so darn frustrating.",sadness
RIP kelly  fucccccck,sadness
Not feeling too good,sadness
Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,sadness
i miss oklahomaaaaa  listening to citizen cope til i pass out.,sadness
its funny. i'm kinda sad on my last day,sadness
Jenny fell asleep and didn't come over,sadness
Wishes you had teased me with movie night,sadness
"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave",sadness
wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,sadness
"off to work now, finish about 9pm  booooo.",sadness
Wishes you hadn't teased me with movie night,sadness
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",sadness
should be sleeping.  lost my voice a couple day ago.,sadness
I was too sleepy earlier and i didnt get to see matt,sadness
how to have a glowing face? my complexion is always so pale,sadness
"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL",sadness
