text,affect
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore and it take so much out of me..",anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger
Literally fuming fuck sake,anger
The rage has died down.,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
All Brian does is sleep and aggravate me,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
Might just leave and aggravate bae,anger
"Realest ever, relentless ever, inevitable that I win.",anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
Eat my ass' is no longer an insult,anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
Sting is just too damn earnest for early morning listening. ,anger
Just seeing Alex revells face gets me angry,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
I hope my hustle don't offend nobody,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
Lol little things like that make me so angry x,anger
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
wanna go home and focus up on this game . Don't wanna rage at all,anger
I wanna see you smile I don't wanna see you make a frown,anger
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
Autocorrect changes ''em' to 'me' which I resent greatly,anger
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
Star trek online has a update to download oh fuming yay,anger
"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
After what just happened. In need to smoke. ,anger
I really wish my road rage wasn't so damn bad lmaooooo,anger
when you think you've got it together for a day then you randomly burst out crying,anger
Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger
Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger
No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger
I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
"And to discriminate only generates hateAnd when you hate then you're bound to get irate,",anger
Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
Nothing is more relentless than a dog begging for food,anger
ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger
People that smoke cigarettes irritate my soul.,anger
Threat factors in respect to provocation bulb worm: BnQo,anger
"— Self-hatred gives rise to fury, fury to the desire for self-change.",anger
You sting like a bee but you're still my honey.,anger
"if u have time 2 open a snap, u have time 2 respond",anger
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
We floated like butterflies. Now you sting like bees!',anger
"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger
no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger
"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
Panpiper playing Big River outside The Bridges in SR1 ,anger
I base when it's going to rain here off of brills snap stories.,anger
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
