text,affect
the moment when you get another follower and you cheer. ,happiness
If ur heart hurts all the time for tht person something isn't right where's the ,happiness
"I feel awful, and it's way too freaking early. Now off to leadership highschool... ",happiness
So chuffed for safc fans! Bet me dar comes in mortz from the match ,happiness
chips and curry sauce ,happiness
Oh and off to work till midnight -.-,happiness
There is no concrete equation for joy. you can't explain how to get in your life.,happiness
All my battles r surely handled properly and  never by me ... it feels so good,happiness
Nobody up worth talking too so back to sleep I try to go! ,happiness
Christmas lights? Check! :) now its time to decorate inside.. ,happiness
Getting Ready to Spend Time With Fam ---   and is What Life Is All About,happiness
 is to do calc problems....that has been my life for the last 3 hours and will be for the rest of the night ,happiness
Guess I better start my psychology paper that's due Monday. ,happiness
literally haven't seen the sun in a week and it's finally coming out! ,happiness
"Since this is the season to give I'm giving God my problems 4 solutions, sickness 4 healing, insecurity 4 a touch  of HIS garment! ",happiness
Now for the painful walk downstairs ,happiness
FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,happiness
"Can honestly say, don't think I've ever done so shit in an exam before ",happiness
The world didnt give it and the world cant take it away ,happiness
time to start this research paper ,happiness
History wasn't so bad! Now the last exam on tuesday! And that would be N.S! ,happiness
Ready to knock some1 out before 9.05am today ,happiness
I have learned to be content in any situation and I thank God for peace that surpasses ALL understanding  ,happiness
Just had possibly the most awkward conversation in my life. ,happiness
"Soooooo... yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. :D",happiness
"Remember, men need laughter sometimes more than food.",happiness
Great...thanksgiving. mad people in my house for no apparent reason smh -_-,happiness
"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",happiness
"Abundance is: seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",happiness
Enjoy this Day Beautiful World and Planet Earth's wonderful people!!   ,happiness
Guess what? Its Thursday and I have 2 tests today... ,happiness
gotta get up in 6 hours to ride a plane ,happiness
Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances.  ,happiness
bawling my eyes out and curled up....i have never felt this sick so far ,happiness
Working my first Campbell game of the year ,happiness
" Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",happiness
Lost volleyball game to meadowlark ,happiness
Successful day of nothingness. ;D Now back to reality. ,happiness
"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying,  ",happiness
mom said someone ant work called her newborn girl LUBNA *wohoo* ,happiness
I am fucking extremely full!! ,happiness
Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt.! ,happiness
"Such a pointless day at college, just ate mcdonalds now for fitness ",happiness
"Our pastor asked us to join in him in fasting, for 40 days, in this: eat right and exercise.   ",happiness
mid terms begin next week. ,happiness
"Love when mt boyfriend gets drunk, and then no one knows where he is ",happiness
Kind of in an amazing mood  ,happiness
my sissy in law been cooking all day . ,happiness
"I release all struggle now, and I am at peace.    ",happiness
Debate paper for history ,happiness
Having a lie in tomorrow! Don't have to be up till 8. ,happiness
o my fucking god new korn album is out ,happiness
My House Number Start W. 399 but hers start W. 396 andand She just live up the street ,happiness
Life is looking up for the first time in awhile. I can truly do all things through Christ who strengthens me! ,happiness
My mom bought Star Wars candy canes for me. ,happiness
Nice night of reading ahead ,happiness
So ima spend my b-day movin my shit. ,happiness
In the gym this morning... Xmas tree afterwards then a nice 4-12 shift at waitrose... ,happiness
on the other hand... it does mean i have one less test to worry about. ,happiness
Me and my mom just got to the store and realized she left her purse at home:p  :P,happiness
Love and Hip Hop on my newsfeeds ,happiness
Just woke up from a coma.. Now time to take an exam. ,happiness
Open house = sit in campus ministry ,happiness
"God, got the most amazing pair of shoes ever today! My feet are going to be fucked up by the time I'm 20 ",happiness
First year working Black Friday!! ,happiness
Its my birthday! I'm officially 14(: any shout outs? It would make me feel special. ,happiness
perfect day to start the Christmas movies POLAR EXPRESS. ,happiness
I love seeing cars with Christmas trees on top!  ,happiness
Hell week started a day early ,happiness
good morning world! ,happiness
Am in the best real ale pub since the  ,happiness
I love it  when I have a big smile on my face for no reason... ,happiness
"Wow!The Outlet Thanksgiving Dinner was MAH-JOR! LOVE seeing others honor, respectandcare so much!Food, friends, funandgames were excellent! ",happiness
Gotta drive in the pitch black to work on the farm. ,happiness
Great. Just noticed I have a spider bite on my face. Yay. ,happiness
Officially put in my two weeks notice at work!  ,happiness
eating a candy cane.. ,happiness
Time for bed before a big day of packing/moving and yet more packing ,happiness
just finished the last paper I'll have to write for the rest of the semester :D COPIOUS AMOUNTS OF !!!,happiness
"4 hour food technology exam today, ",happiness
Don't Let That Nigga steal your.... He didn't give it To U.....,happiness
so its that time of night where i just have this burst of energy and i wont be able to go to sleep for another hour or two. lol ,happiness
"Good thing all the union station exits dtla are all being blocked by cops... Got lost, now chilling at the hobo capital of the world.. ",happiness
Have to sing to old people tomorrow.... ,happiness
Let's get this day over so I can go home and study ,happiness
Round two of basketball games ,happiness
Why would i nap from 8-830...cant sleep now and have to wake for a track meet in 6 hours... ,happiness
John Arne Riise flattens the man who once flattened him with a golf club. ,happiness
Listening to someone in Smith sing  from my room.  ,happiness
  A wise person said: Abundance in the universe is circulating..if it needs to multiply give it away...Bread on water...Give ,happiness
We just delivered a Christmas package to a family in need. You should have seen the kids' excitement! ,happiness
Mawning...joy cms in d mawnin wen u survivd d nite...on ma mind,happiness
Tomorrow's Wednesday ): double social studies and Spanish .. /:,happiness
Whoooooaaaa ! Slow Ya Roll Buddy.! ( in my white girl voice) ,happiness
Metal Gear Rising being made by the Bayonetta devs? Yes please! ,happiness
Guess I better start another long weekend of work ,happiness
My hair has decided to be a curly mess today. ,happiness
i just finished rewriting all my notes 3 times. now to start writing new notes. an write them 3 times. ,happiness
ya en casa despues de una noche de jangueo maximo en la ahora a comer algo y a descansar que a las 2 hay que comer en casa de los iaios,happiness
catching up on true blood whilst not studying..,happiness
Finals tomorrow... ugh ,happiness
"making my awesome sweet potatoes in my bra, dancing like a white irish girl in the kitchen. haha! all alone n full of ",happiness
"No sleep for me, been up since 10am thursday morning...Now off too go shopping with my mother in a pissy mood. ",happiness
3 and a half hours on a bus full of germans ,happiness
"...Do not grieve, for the joy of the LORD is your strength. Nehemiah 8:10  ",happiness
The snow makes my job just slightly more bearable... That is until I have to see tracksuit mcwetass and his fannypack bringing empties ,happiness
Making the best bubble bath by putting every single bath soap in. ,happiness
Buenas noches a todos! Despues de un ratito en la a la camita a descansar,happiness
Suppose I'd better crack on. Have new HV coming out to meet us. ,happiness
setting up my grandpas tv with my dad x_x ,happiness
Well its half 2 in the morning and cant sleep ,happiness
 when I found out that JLS are doing their tour at the O2 on my birthday....and I don't have tickets to go. ,happiness
For the next 24 hrs i go from an employed actor  - unemployed actor  - employed actor - unemployed actor to salesman ! !,happiness
I actually do get to do s send today but it's Comcast New England Sports Net meaning all Boston sports ,happiness
United losing..RT if the feeling is mutual,happiness
2 hour car ride ,happiness
got the jobbbb :) now to study for physics and arch history the rest of the night ,happiness
I'm writing an apologetic letter to a judge ,happiness
Wen tears of joy flood my eyes exse,happiness
having your own personal little mini breakdown ,happiness
Its been my pleasure to watch the  stifle the  during the first half of the game. ,happiness
Six chapter of Economics to study for tomorrow's final ,happiness
Eeeeeeeee 2 more friends got engaged!!! Next summer's wedding season calendar will be filling up quickly! ,happiness
I love when the kids I'm babysitting make a scene in Chick Fila because they can't have icecream ,happiness
Did you bust out some beautiful rose clothing for Gaudete Sunday?   ,happiness
Off to the pub to meet friends (again-after last night) plus putting the tree up this arvo :-D ,happiness
hoy ensaladita con pollo!!! con las bellas  y ,happiness
I'm noticing a pattern. And I don't understand it ,happiness
And would be back right in time for 4th block. -.-,happiness
The Joy of the Lord is my strength nothing on this earth that happens to me can take that from me He is faithful... ,happiness
"It's me, and one other lady in the office today -_- cant I just work from home?",happiness
Good morning and  I'm off to work until 8 tonight... ,happiness
Eye appointment time. ,happiness
Shopping shopping shopping ,happiness
Finished my paper!!! Ended up with 1700 words total! :) I am happy with it! ,happiness
I enjoy the moments in life when motion-sensored paper towel dispensers work. ,happiness
Tonight is going to consist of cleaning my whole place before i go home. ,happiness
It's official... I have dedication and determination. I've been studying for Chemistry non-stop since 4pm yesterday. ,happiness
"Hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh ",happiness
is rocking to R.E.M. Around the Sun while working from his home office today.  Sipping coffee and dogs hanging around feet.  ,happiness
It's midnight! CHRISTMAS MUSIC IS A GO!  ,happiness
Found out my friend is pregnant -___-,happiness
Family work out class. ,happiness
Never ending christmas tunes at work.. ,happiness
"No, you're voice wasn't in a rushing wind. It was still, it was small, it was hidden. Oh, you came like a winter snow  ",happiness
"Have my schedule for Aero, waiting for Tillys now.   ",happiness
"Seriously cannot get enough of Matthew and Atlas. Listening to ""To the North"" EP on repeat.   ",happiness
I love the excitement of opening up a new Apple product for the first time!  ,happiness
Bout to start makin sweet potato pies -__- ,happiness
Home tonight hate this family right now,happiness
Bored as fuck....clarkston is so lucky that they have no skool. ,happiness
Going to regret sleeping this late tomorrow morning... ,happiness
slept for an hour and a half last night and i have to wake up at 6 tomorroww?..,happiness
Candle and my pink Christmas tree ,happiness
I know Tony gonna bust in my room any minute now to beg for me to twist his hair.. -_-,happiness
In less than 10 hours I will be waking up for school. ,happiness
Putting up the Christmas tree and listening to Christmas music! ,happiness
"And with that, back to filling out more paper work. ",happiness
"Def ditchin my crib cuz 4 ppl here. Headin to my Unc crib where dere's 50 ppl u hear screamin, somebody kids runnin into ur legs etc... ",happiness
School is very boring today :/ ,happiness
"I won't be able to sleep because I know that due to my new assignment, my pay will be wrong too this month. ",happiness
"le camera has left Jacksonville. my netbook, on the other hand, is conveniently lost in space. ",happiness
Joy is all about sharing. So give it away! Go overboard. Get excessive! ,happiness
Lots of affection and lots of play ,happiness
Urgh what a day! Glad it's over...only a million things left to sort out at work tomorrow before I go on holiday ,happiness
Community responsibility workshop ,happiness
"I would just like to say, I am not going home for thanksgiving and I will be working on black Friday :\ ",happiness
First cold of the winter season. ,happiness
"Yaaaay let me join list of people tweeting about the snow, but might I add that the snow started right as I started putting up my tree? ",happiness
Watching some 7th grade basketball allllll day! ,happiness
Waking up this early to study for my 11am final on a saturday? ,happiness
"Very Happy to wake up with no work for 3 days, still got lots to do today. ",happiness
"On a lighter note, I have just finished my future of journalism article. So I am all ready for the 12 noon hand in tomorrow. ",happiness
We're having people round tonight. ,happiness
another day of not feeling good......,happiness
Just noticed I left my science binder home. ,happiness
"and to top it all off, I'm going to be in my least favorite class for 3 hours.. ",happiness
My new bus friend smells like soggy McDonald's fries and axe body spray. He's also an elbowy gent of roughly 300 pounds. ,happiness
Yeah day just got worse... ,happiness
Forced to see my cousins play tonight ,happiness
Since its Wednesday and I don't have any homework completed that I'll do it today ,happiness
 sub in English and were reading a story about killing dinosaurs! ,happiness
no sleep last night. visitors coming today. ,happiness
the vinyl collection is growing! :) ,happiness
My bus has broken down on lambton quay. ,happiness
"Rejoice in the Lord always! Again, I say rejoice!  J-Jesus O-Others Y-Yourself",happiness
Santa brunch is almost here! Meet the big guy and have Chef Baru's cotton candy from 10-2. ,happiness
"and so the Xmas drinks season begins, there's several functions on every night between now and Xmas ",happiness
Mum is making me look at hair styles for the wedding -.-,happiness
Swamped with homework tonight.  ,happiness
"I am in Calabar. Enjoying the people, weather, food, culture and Delighted to be in Christ. ",happiness
Fell asleep and woke back up to news of the lockout being over.. looks like I'll be at a Clipper game after all this season! ,happiness
Apparently ppl will talk bout me and my behaviour tonight -.- but in my opinion i dont think i did anything that was wrong,happiness
I Can't Wait Till Im Able To Drive ,happiness
I have been in a line of cara trying to get out of this parking lot for half an hour :( ,happiness
That lovely feeing when you cross lanes without hitting a single Cat's eye. ,happiness
Film preview screening today. Handel's Messiah tomorrow. MC Christmas Concert Sunday. Three day winter vacation Monday.  ,happiness
I Remember When Yu Feeld My Heart Wit ,happiness
Feeling like singing all afternoon. So I have: Have Yourself A Merry Little  At my desk. On NYC streets on my way home. ,happiness
 finding the love of Jesus man ,happiness
Santa is bringing me 4 Star Wars shirts for christmas! ,happiness
"Looks like I'm gon' be up for awhile. Jarryn ain't tired, lls. -_- !",happiness
Looks like i'm gonna be up for awhile tonight doing that Bloom Ball. ,happiness
Oh early morning preachings by my father ,happiness
I guess I'll be writing a scholarship essay today ,happiness
helping my mom set up both new tv's all day ,happiness
THIS DAY REMINDS ME OF THE FIRST DAY I EVER GOT PUSSY! ,happiness
I can feel it already. Its gonna be one of those crappy days. ,happiness
"Bought to start my big journey to Delaware: first to Claymont, then New Castle and then Dover. ",happiness
hungry and have no lunch money :/ ,happiness
Few things in life are better than a toasted bagel with a cup of tea ,happiness
"SUPER grateful for da blessing of 2day and da ones to come, Thank You God 4 all u've done!!!!!!!!!! heart of ",happiness
ew  I forgot I have to see stupid fucking people today. ,happiness
Purple + rainbow tights are the. B E S T !!!!!!! ,happiness
Back home. Time to stress over school again. -_____-,happiness
