text,affect
the moment when you get another follower and you cheer. ,happiness
eww.. my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll....... ,disgust
If ur heart hurts all the time for tht person something isn't right where's the ,happiness
"I feel awful, and it's way too freaking early. Now off to leadership highschool... ",happiness
So chuffed for safc fans! Bet me dar comes in mortz from the match ,happiness
Making art and viewing art are different at their core!   ,fear
"""We're sorry, but the clip you selected isn't available from your location. Please select another clip."" NO I REFUSE. ",sadness
chips and curry sauce ,happiness
"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger
Oh and off to work till midnight -.-,happiness
large crowds of manic football fans and mascots ,fear
There is no concrete equation for joy. you can't explain how to get in your life.,happiness
All my battles r surely handled properly and  never by me ... it feels so good,happiness
Nobody up worth talking too so back to sleep I try to go! ,happiness
Someone on my high school football team is also called Moriarty. ,fear
I just absolutely lost my mind.. :(,anger
Christmas lights? Check! :) now its time to decorate inside.. ,happiness
"My earlier tweet should've said ""I sometimes think I'm the youngest person...""  ",anger
Working on this third drink tho...  Someone is tryna challenge me to a cook off... they've already  ,sadness
sounds awful but alot of people are dying recently :(( ,sadness
Getting Ready to Spend Time With Fam ---   and is What Life Is All About,happiness
 is to do calc problems....that has been my life for the last 3 hours and will be for the rest of the night ,happiness
Feeling left out... I guess I always have my boyfriend. ,sadness
I only have two class periods left with my favorite teacher. ,sadness
Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger
been awake since 4:30am. too tired for black friday fun. ,sadness
"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me.",fear
I can't believe I'm saying this but Room 112 by 112 is a big ass simp album. ,sadness
"They're playing Manchester Orchestra in between acts...Hey Allston Pudding, I really would have liked to go to that concert. ",anger
Guess I better start my psychology paper that's due Monday. ,happiness
literally haven't seen the sun in a week and it's finally coming out! ,happiness
"Since this is the season to give I'm giving God my problems 4 solutions, sickness 4 healing, insecurity 4 a touch  of HIS garment! ",happiness
Now for the painful walk downstairs ,happiness
FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,happiness
Naubusan kami ng slot sa 5k ng MILO MARATHON :| ,sadness
People are more likely to die in hospital at the weekend? ,fear
"Can honestly say, don't think I've ever done so shit in an exam before ",happiness
"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR.   ",sadness
The world didnt give it and the world cant take it away ,happiness
time to start this research paper ,happiness
History wasn't so bad! Now the last exam on tuesday! And that would be N.S! ,happiness
Ready to knock some1 out before 9.05am today ,happiness
I have learned to be content in any situation and I thank God for peace that surpasses ALL understanding  ,happiness
Just had possibly the most awkward conversation in my life. ,happiness
staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF? ,sadness
"Soooooo... yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. :D",happiness
''What is profound might become absolutely meaningless'' ,fear
I want cake. I bet we don't have any. ,sadness
"Remember, men need laughter sometimes more than food.",happiness
Great...thanksgiving. mad people in my house for no apparent reason smh -_-,happiness
"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear
"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",happiness
"Abundance is: seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",happiness
Went upstairs for a min and came back to find my puppy ate a huge corner of my book... ,anger
Little hesitant to apply deodorant ever again ,fear
Enjoy this Day Beautiful World and Planet Earth's wonderful people!!   ,happiness
Guess what? Its Thursday and I have 2 tests today... ,happiness
Packing to leave tomorrow ,sadness
gotta get up in 6 hours to ride a plane ,happiness
Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances.  ,happiness
bawling my eyes out and curled up....i have never felt this sick so far ,happiness
Had a coffee about 2 hours ago and I'm coming up like a bastard with the and jitters now! Need 2 naggins to calm me down !!!,fear
Working my first Campbell game of the year ,happiness
" Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",happiness
Annoying people who rung you and then hang up once you pick up the phone ,anger
Lost volleyball game to meadowlark ,happiness
Successful day of nothingness. ;D Now back to reality. ,happiness
"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.  ",fear
"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying,  ",happiness
mom said someone ant work called her newborn girl LUBNA *wohoo* ,happiness
I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness
