text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
I wanna go back to bedd ): or atleast sleep in tomorrow . But I can't bc I have practice at 8 I the morning !?!? ,0.000,30.000,0.133,0.067,0.000,0.000,0.000,0.000,0.000
"I will edit the Gardener. I will, I swear.    ",1.000,13.000,0.231,0.000,0.000,0.000,0.000,0.000,0.000
"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon ",2.000,27.000,0.037,0.037,0.013,0.000,0.000,0.000,0.000
Its perfect time for long beach walk love slight cooling wind and the best view of iconic Table Mountain when the sun sets ,0.000,23.000,0.000,0.043,0.038,0.013,0.000,0.000,0.000
"remember, our troops are fighting for ""freedom"" and ""democracy"" so you only need to our ""enemies"". there's nothing behind the curtain.",3.000,31.000,0.000,0.000,0.013,0.000,0.000,0.026,0.000
 when mom opens our neighbors mail on accident and for the record they already hate us ,0.000,17.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000
How I hate walking away that last time ,1.000,8.000,0.125,0.000,0.000,0.013,0.000,0.000,0.000
6 hours of field hockey this weekend. ,0.000,8.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
I hate the Dentist...With a passion...,3.000,9.000,0.111,0.000,0.013,0.013,0.000,0.000,4.000
 - The Path of Totality reminds me of Factory's Remanufacture. Moshpit worthy!,3.000,16.000,0.000,0.188,0.000,0.000,0.000,0.000,0.000
TEARS ARE AH FORM OF PROTECTION...IS NOT MY DIRECTION,1.000,11.000,0.909,0.000,0.000,0.013,0.000,0.000,2.000
Westminster soccer coach wants to meet with me AND I'm supposed to let him know ifwithhen I'm playing indoor.  ,2.000,23.000,0.130,0.043,0.013,0.000,0.000,0.000,0.000
eagles converting on 4th and 20 against green bay in the playoffs a couple years ago  ,1.000,17.000,0.000,0.176,0.000,0.000,0.000,0.000,0.000
Ready to watch burrcats kick ass the BOB!,3.000,9.000,0.111,0.111,0.000,0.000,0.000,0.000,0.000
House full of warm food and happy faces. ,0.000,9.000,0.000,0.111,0.013,0.000,0.000,0.000,0.000
