text,intensity,affect,stems,pos,pos_
outraged,"0,964",anger,outrag,84,ADJ
brutality,"0,959",anger,brutal,92,NOUN
hatred,"0,953",anger,hatr,100,VERB
hateful,"0,94",anger,hate,84,ADJ
terrorize,"0,939",anger,terror,92,NOUN
infuriated,"0,938",anger,infuri,100,VERB
violently,"0,938",anger,violent,86,ADV
furious,"0,929",anger,furious,84,ADJ
enraged,"0,927",anger,enrag,84,ADJ
furiously,"0,927",anger,furious,86,ADV
screwyou,"0,924",anger,screwyou,85,ADP
murderer,"0,922",anger,murder,92,NOUN
fury,"0,922",anger,furi,92,NOUN
execution,"0,917",anger,execut,92,NOUN
angered,"0,916",anger,anger,100,VERB
savagery,"0,915",anger,savageri,92,NOUN
slaughtering,"0,914",anger,slaughter,100,VERB
veryangry,"0,913",anger,veryangri,92,NOUN
assassinate,"0,912",anger,assassin,100,VERB
annihilation,"0,912",anger,annihil,92,NOUN
fuckoff,"0,912",anger,fuckoff,84,ADJ
rage,"0,911",anger,rage,92,NOUN
loathe,"0,909",anger,loath,100,VERB
damnation,"0,906",anger,damnat,92,NOUN
fucktard,"0,906",anger,fucktard,92,NOUN
homicidal,"0,906",anger,homicid,84,ADJ
roadrage,"0,906",anger,roadrag,92,NOUN
furor,"0,9",anger,furor,92,NOUN
hostile,"0,898",anger,hostil,84,ADJ
annihilate,"0,898",anger,annihil,100,VERB
murder,"0,897",anger,murder,92,NOUN
raging,"0,896",anger,rage,100,VERB
explosive,"0,894",anger,explos,84,ADJ
infuriates,"0,894",anger,infuri,100,VERB
pissed,"0,894",anger,piss,100,VERB
ferocious,"0,894",anger,feroci,84,ADJ
obliterated,"0,894",anger,obliter,84,ADJ
rape,"0,894",anger,rape,92,NOUN
vengeful,"0,894",anger,veng,84,ADJ
sopissed,"0,894",anger,sopiss,100,VERB
killing,"0,893",anger,kill,100,VERB
combative,"0,891",anger,combat,84,ADJ
gofuckyourself,"0,886",anger,gofuckyourself,92,NOUN
vengeance,"0,886",anger,vengeanc,92,NOUN
wrath,"0,885",anger,wrath,92,NOUN
torment,"0,885",anger,torment,92,NOUN
vicious,"0,884",anger,vicious,84,ADJ
massacre,"0,882",anger,massacr,92,NOUN
threatening,"0,882",anger,threaten,100,VERB
abhorrent,"0,875",anger,abhorr,84,ADJ
pissoff,"0,875",anger,pissoff,84,ADJ
bloodthirsty,"0,875",anger,bloodthirsti,84,ADJ
fighting,"0,868",anger,fight,92,NOUN
attacking,"0,865",anger,attack,100,VERB
annihilated,"0,865",anger,annihil,100,VERB
bloodshed,"0,864",anger,bloodsh,92,NOUN
angriest,"0,864",anger,angriest,84,ADJ
smite,"0,862",anger,smite,92,NOUN
brawl,"0,861",anger,brawl,92,NOUN
malicious,"0,859",anger,malici,84,ADJ
tirade,"0,859",anger,tirad,92,NOUN
assault,"0,859",anger,assault,92,NOUN
hostility,"0,859",anger,hostil,92,NOUN
explode,"0,859",anger,explod,100,VERB
assassination,"0,859",anger,assassin,92,NOUN
strangle,"0,859",anger,strangl,100,VERB
loathsome,"0,857",anger,loathsom,84,ADJ
murderous,"0,853",anger,murder,84,ADJ
attack,"0,853",anger,attack,92,NOUN
hell,"0,853",anger,hell,92,NOUN
malice,"0,852",anger,malic,92,NOUN
terrorism,"0,851",anger,terror,92,NOUN
beating,"0,849",anger,beat,100,VERB
desecration,"0,848",anger,desecr,92,NOUN
pissingmeoff,"0,848",anger,pissingmeoff,92,NOUN
outrage,"0,848",anger,outrag,92,NOUN
destroying,"0,844",anger,destroy,100,VERB
irate,"0,844",anger,irat,84,ADJ
infuriate,"0,844",anger,infuri,100,VERB
stab,"0,844",anger,stab,100,VERB
violent,"0,844",anger,violent,84,ADJ
tumultuous,"0,844",anger,tumultu,84,ADJ
abomination,"0,844",anger,abomin,92,NOUN
slaughter,"0,844",anger,slaughter,92,NOUN
obliterate,"0,843",anger,obliter,100,VERB
belligerent,"0,841",anger,belliger,84,ADJ
dumbbitch,"0,841",anger,dumbbitch,92,NOUN
detest,"0,838",anger,detest,100,VERB
hostilities,"0,837",anger,hostil,92,NOUN
prick,"0,835",anger,prick,100,VERB
torture,"0,833",anger,tortur,92,NOUN
rabid,"0,833",anger,rabid,84,ADJ
rampage,"0,833",anger,rampag,92,NOUN
horrid,"0,833",anger,horrid,84,ADJ
cruelty,"0,833",anger,cruelti,92,NOUN
despicable,"0,828",anger,despic,84,ADJ
tyrannical,"0,828",anger,tyrann,84,ADJ
demonic,"0,828",anger,demon,84,ADJ
hating,"0,828",anger,hate,92,NOUN
ragemode,"0,828",anger,ragemod,92,NOUN
hate,"0,828",anger,hate,100,VERB
satanic,"0,828",anger,satan,84,ADJ
ruinous,"0,825",anger,ruinous,84,ADJ
condemn,"0,825",anger,condemn,92,NOUN
dickhead,"0,824",anger,dickhead,92,NOUN
demolish,"0,824",anger,demolish,100,VERB
angry,"0,824",anger,angri,84,ADJ
riots,"0,824",anger,riot,92,NOUN
extermination,"0,824",anger,extermin,92,NOUN
livid,"0,821",anger,livid,84,ADJ
madman,"0,82",anger,madman,92,NOUN
vindictive,"0,819",anger,vindict,84,ADJ
terrorist,"0,818",anger,terrorist,92,NOUN
threaten,"0,818",anger,threaten,100,VERB
hateyou,"0,818",anger,hateyou,84,ADJ
effyou,"0,818",anger,effyou,101,X
ferocity,"0,818",anger,feroc,92,NOUN
venomous,"0,818",anger,venom,84,ADJ
abhor,"0,816",anger,abhor,84,ADJ
savage,"0,814",anger,savag,84,ADJ
atrocity,"0,814",anger,atroc,92,NOUN
carnage,"0,814",anger,carnag,92,NOUN
angrytweet,"0,812",anger,angrytweet,92,NOUN
barbaric,"0,812",anger,barbar,84,ADJ
vendetta,"0,812",anger,vendetta,92,NOUN
destroyer,"0,812",anger,destroy,92,NOUN
pissedoff,"0,812",anger,pissedoff,92,NOUN
abuse,"0,812",anger,abus,92,NOUN
fuming,"0,812",anger,fume,92,NOUN
pissesmeoff,"0,812",anger,pissesmeoff,92,NOUN
berserk,"0,812",anger,berserk,92,NOUN
fierce,"0,812",anger,fierc,84,ADJ
