text,intensity,affect,stems,pos,pos_
torture,0.984,fear,tortur,92,NOUN
terrorist,0.972,fear,terrorist,84,ADJ
horrific,0.969,fear,horrif,84,ADJ
terrorism,0.969,fear,terror,92,NOUN
terrorists,0.969,fear,terrorist,92,NOUN
suicidebombing,0.967,fear,suicidebomb,100,VERB
kill,0.962,fear,kill,100,VERB
homicidal,0.959,fear,homicid,84,ADJ
terror,0.953,fear,terror,92,NOUN
murderer,0.953,fear,murder,92,NOUN
catastrophe,0.953,fear,catastroph,92,NOUN
annihilate,0.953,fear,annihil,100,VERB
dying,0.948,fear,die,100,VERB
war,0.942,fear,war,92,NOUN
bombing,0.938,fear,bomb,92,NOUN
bomb,0.935,fear,bomb,92,NOUN
missiles,0.934,fear,missil,92,NOUN
horror,0.923,fear,horror,92,NOUN
horrified,0.922,fear,horrifi,100,VERB
terrorize,0.922,fear,terror,100,VERB
brutality,0.922,fear,brutal,92,NOUN
bloodthirsty,0.922,fear,bloodthirsti,84,ADJ
murderous,0.920,fear,murder,84,ADJ
massacre,0.911,fear,massacr,92,NOUN
horrifying,0.906,fear,horrifi,100,VERB
mutilation,0.906,fear,mutil,92,NOUN
assassinate,0.906,fear,assassin,100,VERB
terrifying,0.906,fear,terrifi,84,ADJ
fatality,0.906,fear,fatal,92,NOUN
horrors,0.906,fear,horror,92,NOUN
demon,0.906,fear,demon,92,NOUN
murder,0.906,fear,murder,92,NOUN
devastation,0.906,fear,devast,92,NOUN
killing,0.906,fear,kill,100,VERB
terrified,0.906,fear,terrifi,100,VERB
holocaust,0.906,fear,holocaust,92,NOUN
suicidal,0.898,fear,suicid,84,ADJ
kidnap,0.891,fear,kidnap,100,VERB
crucifixion,0.891,fear,crucifixion,92,NOUN
slaughter,0.891,fear,slaughter,92,NOUN
assault,0.891,fear,assault,92,NOUN
doomed,0.888,fear,doom,100,VERB
poisoned,0.886,fear,poison,100,VERB
suicide,0.879,fear,suicid,92,NOUN
explosion,0.879,fear,explos,92,NOUN
disastrous,0.875,fear,disastr,84,ADJ
dismemberment,0.875,fear,dismember,92,NOUN
annihilation,0.875,fear,annihil,92,NOUN
savagery,0.875,fear,savageri,92,NOUN
deadly,0.875,fear,dead,84,ADJ
slaughtering,0.875,fear,slaughter,100,VERB
suffocation,0.875,fear,suffoc,92,NOUN
disaster,0.875,fear,disast,92,NOUN
threatening,0.875,fear,threaten,100,VERB
assassin,0.875,fear,assassin,92,NOUN
rape,0.870,fear,rape,92,NOUN
hell,0.860,fear,hell,92,NOUN
slaughterhouse,0.859,fear,slaughterhous,92,NOUN
guillotine,0.859,fear,guillotin,92,NOUN
explosive,0.859,fear,explos,92,NOUN
annihilated,0.859,fear,annihil,100,VERB
demonic,0.859,fear,demon,84,ADJ
ihatespiders,0.859,fear,ihatespid,92,NOUN
bloodshed,0.859,fear,bloodsh,100,VERB
dread,0.859,fear,dread,92,NOUN
homicide,0.859,fear,homicid,92,NOUN
barbaric,0.859,fear,barbar,84,ADJ
anthrax,0.859,fear,anthrax,92,NOUN
molestation,0.859,fear,molest,92,NOUN
warfare,0.859,fear,warfar,92,NOUN
peril,0.859,fear,peril,92,NOUN
tragedy,0.859,fear,tragedi,92,NOUN
attacking,0.859,fear,attack,100,VERB
paralyzed,0.859,fear,paralyz,84,ADJ
executioner,0.859,fear,execution,92,NOUN
suffocating,0.858,fear,suffoc,100,VERB
treachery,0.856,fear,treacheri,92,NOUN
fright,0.853,fear,fright,92,NOUN
apocalypse,0.844,fear,apocalyps,92,NOUN
bombardment,0.844,fear,bombard,92,NOUN
afraid,0.844,fear,afraid,84,ADJ
frightening,0.844,fear,frighten,84,ADJ
frightened,0.844,fear,frighten,84,ADJ
scariest,0.844,fear,scariest,86,ADV
panicked,0.844,fear,panick,84,ADJ
morgue,0.844,fear,morgu,92,NOUN
traumatic,0.844,fear,traumat,84,ADJ
execution,0.844,fear,execut,92,NOUN
monster,0.844,fear,monster,92,NOUN
vengeance,0.844,fear,vengeanc,92,NOUN
destroying,0.844,fear,destroy,100,VERB
slayer,0.844,fear,slayer,92,NOUN
abomination,0.844,fear,abomin,92,NOUN
painful,0.844,fear,pain,84,ADJ
drown,0.844,fear,drown,100,VERB
petrified,0.844,fear,petrifi,84,ADJ
scare,0.844,fear,scare,92,NOUN
death,0.843,fear,death,92,NOUN
