text,intensity,pos_
happiest,0.986,ADJ
jubilant,0.969,ADJ
ecstatic,0.954,ADJ
fabulous,0.922,ADJ
happinessous,0.922,ADJ
makesmehappy,0.922,ADJ
spectacular,0.912,ADJ
triumphant,0.907,ADJ
cheerful,0.906,ADJ
blissful,0.879,ADJ
outstanding,0.879,ADJ
pleasurable,0.877,ADJ
enthusiastic,0.875,ADJ
sohappy,0.868,ADJ
wonderful,0.863,ADJ
brilliant,0.859,ADJ
magnificent,0.859,ADJ
exciting,0.853,ADJ
festive,0.833,ADJ
marvellous,0.833,ADJ
enchanting,0.828,ADJ
marvelous,0.824,ADJ
sensational,0.818,ADJ
celebratory,0.818,ADJ
delightful,0.818,ADJ
excited,0.818,ADJ
greatful,0.816,ADJ
jovial,0.814,ADJ
glorious,0.812,ADJ
victorious,0.812,ADJ
excellent,0.812,ADJ
splendid,0.812,ADJ
enhappiness,0.812,ADJ
smiley,0.812,ADJ
myfavorite,0.804,ADJ
happier,0.797,ADJ
grateful,0.789,ADJ
happy,0.788,ADJ
glad,0.781,ADJ
radiant,0.781,ADJ
beautiful,0.781,ADJ
christmassy,0.779,ADJ
lovable,0.773,ADJ
miraculous,0.773,ADJ
amused,0.766,ADJ
thebest,0.766,ADJ
christmasspirit,0.766,ADJ
positive,0.761,ADJ
giddy,0.757,ADJ
pleasing,0.750,ADJ
romantic,0.750,ADJ
positiveenergy,0.742,ADJ
rewarding,0.742,ADJ
magical,0.742,ADJ
enthusiasm,0.742,ADJ
feelgood,0.736,ADJ
passionate,0.734,ADJ
vivacious,0.734,ADJ
luxurious,0.734,ADJ
breathtaking,0.728,ADJ
atpeace,0.727,ADJ
merry,0.727,ADJ
thankful,0.727,ADJ
cheery,0.727,ADJ
pleased,0.725,ADJ
optimistic,0.723,ADJ
lucky,0.721,ADJ
congratulatory,0.719,ADJ
perfect,0.719,ADJ
lovely,0.719,ADJ
thriving,0.719,ADJ
utopian,0.719,ADJ
heartfelt,0.719,ADJ
magic,0.712,ADJ
luckiest,0.712,ADJ
intimate,0.710,ADJ
gooood,0.703,ADJ
excite,0.697,ADJ
exquisite,0.688,ADJ
angelic,0.688,ADJ
favorite,0.688,ADJ
majestic,0.682,ADJ
precious,0.682,ADJ
luscious,0.682,ADJ
hilarious,0.672,ADJ
dearest,0.672,ADJ
bountiful,0.667,ADJ
boisterous,0.667,ADJ
prosperous,0.660,ADJ
pleasant,0.656,ADJ
uplifting,0.641,ADJ
divine,0.641,ADJ
priceless,0.641,ADJ
saintly,0.641,ADJ
peaceful,0.636,ADJ
gorgeous,0.625,ADJ
praisegod,0.625,ADJ
amusing,0.625,ADJ
sweet,0.625,ADJ
brighter,0.625,ADJ
genial,0.621,ADJ
godbless,0.616,ADJ
virtuous,0.613,ADJ
generous,0.609,ADJ
playful,0.609,ADJ
super,0.609,ADJ
praiseworthy,0.609,ADJ
adorable,0.609,ADJ
successful,0.606,ADJ
whimsical,0.603,ADJ
stressfree,0.601,ADJ
heroic,0.591,ADJ
highest,0.591,ADJ
exalted,0.591,ADJ
contented,0.588,ADJ
rollicking,0.588,ADJ
cozy,0.583,ADJ
delicious,0.579,ADJ
friendly,0.578,ADJ
sensuous,0.578,ADJ
picturesque,0.578,ADJ
everlasting,0.578,ADJ
flattering,0.576,ADJ
luckygirl,0.576,ADJ
sensual,0.576,ADJ
special,0.574,ADJ
admirable,0.562,ADJ
sunny,0.562,ADJ
humorous,0.562,ADJ
worthwhile,0.562,ADJ
favorable,0.561,ADJ
hopeful,0.559,ADJ
comfy,0.551,ADJ
elite,0.547,ADJ
good,0.547,ADJ
celestial,0.547,ADJ
charmed,0.546,ADJ
sublime,0.545,ADJ
free,0.544,ADJ
alive,0.531,ADJ
bridal,0.531,ADJ
inspirational,0.531,ADJ
firstborn,0.531,ADJ
confident,0.531,ADJ
soothing,0.531,ADJ
fab,0.531,ADJ
elegant,0.530,ADJ
faithful,0.529,ADJ
commendable,0.519,ADJ
abundant,0.516,ADJ
powerful,0.516,ADJ
almighty,0.516,ADJ
silly,0.516,ADJ
remarkable,0.516,ADJ
resplendent,0.516,ADJ
fancy,0.516,ADJ
vivid,0.515,ADJ
therapeutic,0.515,ADJ
animated,0.515,ADJ
princely,0.515,ADJ
complete,0.515,ADJ
godly,0.514,ADJ
soulful,0.500,ADJ
satisfied,0.500,ADJ
meritorious,0.500,ADJ
carefree,0.500,ADJ
healthy,0.500,ADJ
surreal,0.500,ADJ
charitable,0.500,ADJ
erotic,0.500,ADJ
memorable,0.500,ADJ
stressrelief,0.500,ADJ
holyspirit,0.500,ADJ
teamjesus,0.500,ADJ
visionary,0.500,ADJ
