text,Unnamed: 3,pos_
heartbreaking,heartbreak,ADJ
tragic,tragic,ADJ
suicidal,suicid,ADJ
fatal,fatal,ADJ
horrifying,horrifi,ADJ
depressing,depress,ADJ
deadly,dead,ADJ
deceased,deceas,ADJ
devastating,devast,ADJ
traumatic,traumat,ADJ
murderous,murder,ADJ
miserable,miser,ADJ
sad,sad,ADJ
horrific,horrif,ADJ
pained,pain,ADJ
unbearable,unbear,ADJ
morbid,morbid,ADJ
distraught,distraught,ADJ
mournful,mourn,ADJ
bloody,bloodi,ADJ
lifeless,lifeless,ADJ
dreadful,dread,ADJ
lethal,lethal,ADJ
disheartened,dishearten,ADJ
diseased,diseas,ADJ
fearful,fear,ADJ
destitute,destitut,ADJ
moribund,moribund,ADJ
depressive,depress,ADJ
terrorist,terrorist,ADJ
unhappy,unhappi,ADJ
painful,pain,ADJ
deplorable,deplor,ADJ
sorrowful,sorrow,ADJ
regretful,regret,ADJ
sickening,sicken,ADJ
abysmal,abysm,ADJ
hellish,hellish,ADJ
homeless,homeless,ADJ
horrid,horrid,ADJ
disastrous,disastr,ADJ
listless,listless,ADJ
fraught,fraught,ADJ
forsaken,forsaken,ADJ
malicious,malici,ADJ
ashamed,asham,ADJ
heartless,heartless,ADJ
emaciated,emaci,ADJ
sickly,sick,ADJ
disgruntled,disgruntl,ADJ
grim,grim,ADJ
grievous,grievous,ADJ
paralyzed,paralyz,ADJ
inhuman,inhuman,ADJ
incurable,incur,ADJ
tearful,tear,ADJ
ruinous,ruinous,ADJ
accursed,accurs,ADJ
hopeless,hopeless,ADJ
pathetic,pathet,ADJ
hurtful,hurt,ADJ
terminal,termin,ADJ
depraved,deprav,ADJ
banished,banish,ADJ
teary,teari,ADJ
outcast,outcast,ADJ
feelingdown,feelingdown,ADJ
frightful,fright,ADJ
abortive,abort,ADJ
gory,gori,ADJ
malevolent,malevol,ADJ
decomposed,decompos,ADJ
barren,barren,ADJ
poisoned,poison,ADJ
lonely,lone,ADJ
dreary,dreari,ADJ
blighted,blight,ADJ
ailing,ail,ADJ
demonic,demon,ADJ
shitty,shitti,ADJ
bleak,bleak,ADJ
awful,aw,ADJ
sinful,sin,ADJ
perilous,peril,ADJ
poisonous,poison,ADJ
powerless,powerless,ADJ
woeful,woeful,ADJ
burdensome,burdensom,ADJ
insurmountable,insurmount,ADJ
posthumous,posthum,ADJ
undesired,undesir,ADJ
forlorn,forlorn,ADJ
oppressive,oppress,ADJ
soulless,soulless,ADJ
melancholy,melancholi,ADJ
worried,worri,ADJ
unforgiving,unforgiv,ADJ
irreparable,irrepar,ADJ
bankrupt,bankrupt,ADJ
cruel,cruel,ADJ
faithless,faithless,ADJ
derogatory,derogatori,ADJ
dire,dire,ADJ
worthless,worthless,ADJ
guilty,guilti,ADJ
dilapidated,dilapid,ADJ
shameful,shame,ADJ
somber,somber,ADJ
deprived,depriv,ADJ
irreconcilable,irreconcil,ADJ
ill,ill,ADJ
helpless,helpless,ADJ
crypt,crypt,ADJ
melancholic,melanchol,ADJ
haggard,haggard,ADJ
undesirable,undesir,ADJ
gloomy,gloomi,ADJ
terrible,terribl,ADJ
unwell,unwel,ADJ
sordid,sordid,ADJ
immoral,immor,ADJ
harmful,harm,ADJ
captive,captiv,ADJ
hateful,hate,ADJ
bigoted,bigot,ADJ
dismal,dismal,ADJ
comatose,comatos,ADJ
autopsy,autopsi,ADJ
pessimist,pessimist,ADJ
deceitful,deceit,ADJ
punitive,punit,ADJ
pauper,pauper,ADJ
memorial,memori,ADJ
unkind,unkind,ADJ
isolated,isol,ADJ
unfulfilled,unfulfil,ADJ
glum,glum,ADJ
nefarious,nefari,ADJ
dark,dark,ADJ
antisocial,antisoci,ADJ
inimical,inim,ADJ
sick,sick,ADJ
sullen,sullen,ADJ
unpleasant,unpleas,ADJ
disable,disabl,ADJ
defenseless,defenseless,ADJ
defunct,defunct,ADJ
unfriendly,unfriend,ADJ
unlucky,unlucki,ADJ
sore,sore,ADJ
retard,retard,ADJ
vegetative,veget,ADJ
displeased,displeas,ADJ
hideous,hideous,ADJ
unrequited,unrequit,ADJ
regrettable,regrett,ADJ
insecure,insecur,ADJ
disrespectful,disrespect,ADJ
unfair,unfair,ADJ
negative,negat,ADJ
mad,mad,ADJ
impossible,imposs,ADJ
injurious,injuri,ADJ
chronic,chronic,ADJ
intolerant,intoler,ADJ
ungodly,ungod,ADJ
nauseous,nauseous,ADJ
senile,senil,ADJ
weary,weari,ADJ
endemic,endem,ADJ
