text,affect
outraged,anger
brutality,anger
hatred,anger
hateful,anger
terrorize,anger
infuriated,anger
violently,anger
furious,anger
enraged,anger
furiously,anger
murderer,anger
fury,anger
execution,anger
angered,anger
savagery,anger
slaughtering,anger
assassinate,anger
annihilation,anger
rage,anger
loathe,anger
damnation,anger
fucktard,anger
homicidal,anger
roadrage,anger
furor,anger
hostile,anger
annihilate,anger
murder,anger
raging,anger
explosive,anger
infuriates,anger
pissed,anger
ferocious,anger
obliterated,anger
rape,anger
vengeful,anger
sopissed,anger
killing,anger
combative,anger
gofuckyourself,anger
vengeance,anger
wrath,anger
torment,anger
vicious,anger
massacre,anger
threatening,anger
abhorrent,anger
pissoff,anger
bloodthirsty,anger
fighting,anger
attacking,anger
annihilated,anger
bloodshed,anger
angriest,anger
smite,anger
brawl,anger
malicious,anger
tirade,anger
assault,anger
hostility,anger
explode,anger
assassination,anger
strangle,anger
loathsome,anger
murderous,anger
attack,anger
hell,anger
malice,anger
terrorism,anger
beating,anger
desecration,anger
pissingmeoff,anger
outrage,anger
destroying,anger
irate,anger
infuriate,anger
stab,anger
violent,anger
tumultuous,anger
abomination,anger
slaughter,anger
obliterate,anger
belligerent,anger
dumbbitch,anger
detest,anger
hostilities,anger
prick,anger
torture,anger
rabid,anger
rampage,anger
horrid,anger
cruelty,anger
despicable,anger
tyrannical,anger
demonic,anger
hating,anger
ragemode,anger
hate,anger
satanic,anger
ruinous,anger
condemn,anger
dickhead,anger
demolish,anger
angry,anger
riots,anger
extermination,anger
livid,anger
madman,anger
vindictive,anger
terrorist,anger
threaten,anger
hateyou,anger
effyou,anger
ferocity,anger
venomous,anger
abhor,anger
savage,anger
atrocity,anger
carnage,anger
angrytweet,anger
barbaric,anger
vendetta,anger
destroyer,anger
pissedoff,anger
abuse,anger
fuming,anger
pissesmeoff,anger
berserk,anger
fierce,anger
fucksake,anger
tyrant,anger
anger,anger
pieceofshit,anger
homicide,anger
slam,anger
punching,anger
bitch,anger
fights,anger
punched,anger
ruthless,anger
destructive,anger
villainous,anger
slap,anger
